Class,Category,ID,Term,Genes,adj_pval
BC11,BP,GO:0007411,axon guidance,"Reln, Unc5d, Ptprm, Tenm2, Cntn5, Efna5, Sema3d, App, Epha7, Isl1, Lhx3, Ccdc141, Dcc",2.10E-09
BC11,BP,GO:0097485,neuron projection guidance,"Reln, Unc5d, Ptprm, Tenm2, Cntn5, Efna5, Sema3d, App, Epha7, Isl1, Lhx3, Ccdc141, Dcc",2.10E-09
BC11,BP,GO:0007416,synapse assembly,"Reln, Grid2, Cntn5, Efna5, Gpc6, Farp1, Ntrk2, App, Epha7, Adgrb3, Gabra1",2.41E-08
BC11,BP,GO:0035249,"synaptic transmission, glutamatergic","Unc13c, Reln, Grid2, Cdh8, Grm5, Grm7, Grm6, Ntrk2, Dgki",4.80E-08
BC11,BP,GO:0007215,glutamate receptor signaling pathway,"Grm5, Grm7, Grin3a, Grm6, Plcb1, Trpm1, App",4.80E-08
BC11,BP,GO:0034329,cell junction assembly,"Reln, Cdh18, Grid2, Cdh8, Cntn5, Efna5, Gpc6, Farp1, Ntrk2, App, Epha7, Adgrb3, Gabra1, Limch1",8.15E-08
BC11,BP,GO:0007611,learning or memory,"Reln, Cck, Ptprz1, Grm5, Grm7, Camk4, Plcb1, Ntrk2, App, Adgrb3, Slc12a5, Dgki",2.11E-07
BC11,BP,GO:0050807,regulation of synapse organization,"Reln, Grid2, Cdh8, Efna5, Gpc6, Farp1, Ntrk2, App, Epha7, Adgrb3, Camkv",3.51E-07
BC11,BP,GO:0050803,regulation of synapse structure or activity,"Reln, Grid2, Cdh8, Efna5, Gpc6, Farp1, Ntrk2, App, Epha7, Adgrb3, Camkv",4.41E-07
BC11,BP,GO:0050890,cognition,"Reln, Cck, Ptprz1, Grm5, Grm7, Camk4, Plcb1, Ntrk2, App, Adgrb3, Slc12a5, Dgki",5.64E-07
BC11,BP,GO:0051963,regulation of synapse assembly,"Grid2, Efna5, Gpc6, Farp1, Ntrk2, App, Epha7, Adgrb3",1.41E-06
BC11,BP,GO:0016358,dendrite development,"Reln, Ptprz1, Grin3a, Farp1, Ntrk2, Fat3, App, Adgrb3, Slc12a5, Map6, Hecw2",1.57E-06
BC11,BP,GO:0007612,learning,"Reln, Cck, Grm5, Grm7, Ntrk2, App, Adgrb3, Slc12a5, Dgki",2.09E-06
BC11,BP,GO:0032412,regulation of ion transmembrane transporter activity,"Reln, Grm5, Plcb1, Pde4b, Cabp1, Dapk1, Shisa9, App, Cacna2d1, Hecw2",4.51E-06
BC11,BP,GO:0022898,regulation of transmembrane transporter activity,"Reln, Grm5, Plcb1, Pde4b, Cabp1, Dapk1, Shisa9, App, Cacna2d1, Hecw2",5.96E-06
BC11,BP,GO:1901888,regulation of cell junction assembly,"Grid2, Efna5, Gpc6, Farp1, Ntrk2, App, Epha7, Adgrb3, Limch1",7.82E-06
BC11,BP,GO:0032409,regulation of transporter activity,"Reln, Grm5, Plcb1, Pde4b, Cabp1, Dapk1, Shisa9, App, Cacna2d1, Hecw2",8.43E-06
BC11,BP,GO:0007216,G protein-coupled glutamate receptor signaling pathway,"Grm5, Grm7, Grm6, Trpm1",2.25E-05
BC11,BP,GO:0051966,"regulation of synaptic transmission, glutamatergic","Reln, Grm5, Grm7, Grm6, Ntrk2, Dgki",2.78E-05
BC11,BP,GO:0003407,neural retina development,"Ptprm, Six3, Trpm1, Vsx1, Ntrk2, Fat3",3.33E-05
BC11,BP,GO:0001764,neuron migration,"Reln, Unc5d, Cck, Ptprz1, Ntng1, Ntrk2, Fat3, Dcc",3.33E-05
BC11,BP,GO:0042391,regulation of membrane potential,"Reln, Grid2, Cck, Ntrk2, App, Gabra1, Dgki, Cacna2d1, Rgs7bp, Gjd2, Gabrb1",5.06E-05
BC11,BP,GO:0048167,regulation of synaptic plasticity,"Unc13c, Reln, Grid2, Grm5, Scgn, Slc4a10, Shisa9, Ntrk2, App, Dgki",5.14E-05
BC11,BP,GO:0031290,retinal ganglion cell axon guidance,"Ptprm, Efna5, Epha7, Isl1",5.68E-05
BC11,BP,GO:0034765,regulation of ion transmembrane transport,"Reln, Grm5, Kcnb2, Plcb1, Pde4b, Cabp1, Dapk1, Shisa9, App, Cacna2d1, Hecw2",8.46E-05
BC11,BP,GO:0099054,presynapse assembly,"Grid2, Cntn5, Gpc6, Farp1, App",8.46E-05
BC11,BP,GO:0007613,memory,"Reln, Cck, Grm7, Camk4, Plcb1, Ntrk2, App",8.75E-05
BC11,BP,GO:0006836,neurotransmitter transport,"Unc13c, Grm7, Prkcb, Grin3a, Slc6a11, Cadps, Ntrk2, Dgki",0.000138817
BC11,BP,GO:0099172,presynapse organization,"Grid2, Cntn5, Gpc6, Farp1, App",0.000141468
BC11,BP,GO:0060041,retina development in camera-type eye,"Ptprm, Grm6, Six3, Trpm1, Vsx1, Ntrk2, Fat3",0.00017635
BC11,BP,GO:2001257,regulation of cation channel activity,"Reln, Pde4b, Cabp1, Dapk1, Shisa9, App, Cacna2d1",0.00017635
BC11,BP,GO:0001505,regulation of neurotransmitter levels,"Unc13c, Grm7, Prkcb, Grin3a, Slc6a11, Cadps, Ntrk2, Dgki",0.00017635
BC11,BP,GO:0060078,regulation of postsynaptic membrane potential,"Reln, Grid2, App, Gabra1, Dgki, Rgs7bp",0.00017635
BC11,BP,GO:0007269,neurotransmitter secretion,"Unc13c, Grm7, Prkcb, Grin3a, Cadps, Ntrk2, Dgki",0.000208902
BC11,BP,GO:0099643,signal release from synapse,"Unc13c, Grm7, Prkcb, Grin3a, Cadps, Ntrk2, Dgki",0.000208902
BC11,BP,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,"Reln, Cck, Ptprz1, Grm5, Efna5, App, Epha7, Isl1",0.000208902
BC11,BP,GO:0051962,positive regulation of nervous system development,"Reln, Grid2, Ptprz1, Grm5, Efna5, Ntrk2, Adgrb3, Tenm4, Map6",0.000219454
BC11,BP,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,"Reln, Cck, Ptprz1, Grm5, Efna5, App, Isl1",0.00023342
BC11,BP,GO:1904062,regulation of cation transmembrane transport,"Reln, Plcb1, Pde4b, Cabp1, Dapk1, Shisa9, App, Cacna2d1, Hecw2",0.000303469
BC11,BP,GO:0021953,central nervous system neuron differentiation,"Grid2, Rora, Slc4a10, Ntrk2, Isl1, Lhx3, Dcc",0.000364258
BC11,BP,GO:0050773,regulation of dendrite development,"Reln, Ptprz1, Ntrk2, Fat3, Adgrb3, Hecw2",0.000377041
BC11,BP,GO:0016079,synaptic vesicle exocytosis,"Unc13c, Grm7, Prkcb, Grin3a, Cadps, Dgki",0.00039284
BC11,BP,GO:1905606,regulation of presynapse assembly,"Grid2, Gpc6, Farp1, App",0.00039284
BC11,BP,GO:0060042,retina morphogenesis in camera-type eye,"Ptprm, Trpm1, Vsx1, Ntrk2, Fat3",0.000417197
BC11,BP,GO:0030900,forebrain development,"Reln, Six3, Plcb1, Slc4a10, Ntrk2, App, Isl1, Lhx3, Ccdc141",0.000435541
BC11,BP,GO:0048511,rhythmic process,"Zfhx3, Grin3a, Six3, Rora, Enox1, Hlf, Ntrk2, Stat5b",0.000473041
BC11,BP,GO:0099174,regulation of presynapse organization,"Grid2, Gpc6, Farp1, App",0.000542267
BC11,BP,GO:0018108,peptidyl-tyrosine phosphorylation,"Reln, Cck, Ptprz1, Grm5, Efna5, App, Epha7, Isl1",0.000640895
BC11,BP,GO:0048593,camera-type eye morphogenesis,"Ptprm, Six3, Trpm1, Vsx1, Ntrk2, Fat3",0.000654889
BC11,BP,GO:0018212,peptidyl-tyrosine modification,"Reln, Cck, Ptprz1, Grm5, Efna5, App, Epha7, Isl1",0.000654889
BC11,BP,GO:0098917,retrograde trans-synaptic signaling,"Tenm2, Plcb1, Farp1",0.000654889
BC11,BP,GO:0007601,visual perception,"Grm6, Trpm1, Vsx1, Cabp1, Slc4a10, Gjd2",0.000782883
BC11,BP,GO:0050953,sensory perception of light stimulus,"Grm6, Trpm1, Vsx1, Cabp1, Slc4a10, Gjd2",0.000882291
BC11,BP,GO:0021700,developmental maturation,"Unc13c, Reln, Six3, Plcb1, Vsx1, App, Adgrb3, Runx2",0.000919692
BC11,BP,GO:0050767,regulation of neurogenesis,"Reln, Ptprz1, Grm5, Efna5, Sema3d, Ntrk2, Epha7, Tenm4, Map6",0.000928424
BC11,BP,GO:0008038,neuron recognition,"Ptprz1, Cntn5, App, Ccdc141",0.001001899
BC11,BP,GO:2001222,regulation of neuron migration,"Reln, Unc5d, Ptprz1, Ntng1",0.001330442
BC11,BP,GO:0007626,locomotory behavior,"Reln, Grm5, Zfhx3, Grm6, Npas3, Slc4a10, App",0.001351372
BC11,BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,"Ptprm, Cdh8, Cntn5, Fat3, Ccdc141",0.001433096
BC11,BP,GO:0048813,dendrite morphogenesis,"Reln, Ptprz1, Farp1, Adgrb3, Map6, Hecw2",0.001483071
BC11,BP,GO:0048592,eye morphogenesis,"Ptprm, Six3, Trpm1, Vsx1, Ntrk2, Fat3",0.001527205
BC11,BP,GO:0043523,regulation of neuron apoptotic process,"Grid2, Ptprz1, Grm7, Ntrk2, App, Epha7, Isl1",0.001527205
BC11,BP,GO:0035584,calcium-mediated signaling using intracellular calcium source,"Tenm2, Grm5, Ntrk2",0.001542862
BC11,BP,GO:0006820,anion transport,"Cck, Grm5, Grm7, Slc6a11, Slc4a10, Ntrk2, Gabra1, Slc12a5, Gabrb1",0.001652191
BC11,BP,GO:1901214,regulation of neuron death,"Grid2, Ptprz1, Grm7, Ntrk2, App, Epha7, Isl1, Dcc",0.001674984
BC11,BP,GO:0045055,regulated exocytosis,"Unc13c, Grm7, Prkcb, Grin3a, Cadps, Steap2, Dgki",0.001880063
BC11,BP,GO:0099170,postsynaptic modulation of chemical synaptic transmission,"Grm5, Plcb1, Dcc",0.001927367
BC11,BP,GO:0046928,regulation of neurotransmitter secretion,"Grm7, Prkcb, Grin3a, Ntrk2, Dgki",0.002032899
BC11,BP,GO:0050769,positive regulation of neurogenesis,"Reln, Ptprz1, Grm5, Efna5, Ntrk2, Tenm4, Map6",0.002230459
BC11,BP,GO:0090287,regulation of cellular response to growth factor stimulus,"Sulf1, Cnmd, Prkcb, Vwc2l, Ldlrad4, Fbn1, Runx2",0.002246355
BC11,BP,GO:0099601,regulation of neurotransmitter receptor activity,"Reln, Dapk1, Shisa9, App",0.002586672
BC11,BP,GO:0007205,protein kinase C-activating G protein-coupled receptor signaling pathway,"Cck, Grm5, Dgki",0.002586672
BC11,BP,GO:0010575,positive regulation of vascular endothelial growth factor production,"Sulf1, Rora, Isl1",0.002586672
BC11,BP,GO:0051402,neuron apoptotic process,"Grid2, Ptprz1, Grm7, Ntrk2, App, Epha7, Isl1",0.002599318
BC11,BP,GO:0048469,cell maturation,"Six3, Plcb1, Vsx1, App, Adgrb3, Runx2",0.002599318
BC11,BP,GO:0048168,regulation of neuronal synaptic plasticity,"Grm5, Slc4a10, Shisa9, App",0.002611121
BC11,BP,GO:0070997,neuron death,"Grid2, Ptprz1, Grm7, Ntrk2, App, Epha7, Isl1, Dcc",0.003018912
BC11,BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,"Grm7, Grm6, Pde4b, Vipr2, App, Adgrb3",0.003059284
BC11,BP,GO:0051588,regulation of neurotransmitter transport,"Grm7, Prkcb, Grin3a, Ntrk2, Dgki",0.003201082
BC11,BP,GO:0006816,calcium ion transport,"Ryr3, Prkcb, Grin3a, Grm6, Pde4b, Trpm1, Cabp1, Cacna2d1",0.003201082
BC11,BP,GO:0048880,sensory system development,"Ptprm, Grm6, Six3, Trpm1, Vsx1, Ntrk2, Fat3, Isl1",0.003315575
BC11,BP,GO:0099504,synaptic vesicle cycle,"Unc13c, Grm7, Prkcb, Grin3a, Cadps, Dgki",0.00337104
BC11,BP,GO:0098661,inorganic anion transmembrane transport,"Grm5, Gabra1, Slc12a5, Gabrb1",0.003475432
BC11,BP,GO:0051965,positive regulation of synapse assembly,"Grid2, Efna5, Ntrk2, Adgrb3",0.003983458
BC11,BP,GO:0040013,negative regulation of locomotion,"Ptprm, Sulf1, Grm5, Plcb1, Ldlrad4, Sema3d, Limch1",0.004059771
BC11,BP,GO:0010574,regulation of vascular endothelial growth factor production,"Sulf1, Rora, Isl1",0.004059771
BC11,BP,GO:0048665,neuron fate specification,"Myt1l, Isl1, Lhx3",0.004059771
BC11,BP,GO:0048668,collateral sprouting,"Efna5, App, Epha7",0.004059771
BC11,BP,GO:0045664,regulation of neuron differentiation,"Zfhx3, Six3, Vwc2l, Six3os1, App, Isl1",0.004205942
BC11,BP,GO:1904646,cellular response to amyloid-beta,"Grm5, App, Cacna2d1",0.004358796
BC11,BP,GO:0014047,glutamate secretion,"Cck, Grm7, Ntrk2",0.004668282
BC11,BP,GO:0099560,synaptic membrane adhesion,"Efna5, Gpc6, Ntng1",0.004668282
BC11,BP,GO:2000300,regulation of synaptic vesicle exocytosis,"Grm7, Prkcb, Grin3a, Dgki",0.004771092
BC11,BP,GO:0099003,vesicle-mediated transport in synapse,"Unc13c, Grm7, Prkcb, Grin3a, Cadps, Dgki",0.005372664
BC11,BP,GO:0010573,vascular endothelial growth factor production,"Sulf1, Rora, Isl1",0.005372664
BC11,BP,GO:0060079,excitatory postsynaptic potential,"Reln, Grid2, App, Dgki",0.005508589
BC11,BP,GO:0001964,startle response,"Grid2, Grin3a, Npas3",0.005715484
BC11,BP,GO:0030178,negative regulation of Wnt signaling pathway,"Six3, App, Isl1, Nxn, Tle1",0.005755342
BC11,BP,GO:0048814,regulation of dendrite morphogenesis,"Reln, Ptprz1, Adgrb3, Hecw2",0.006061314
BC11,BP,GO:0021983,pituitary gland development,"Six3, Isl1, Lhx3",0.006431714
BC11,BP,GO:1904645,response to amyloid-beta,"Grm5, App, Cacna2d1",0.006431714
BC11,BP,GO:0010720,positive regulation of cell development,"Reln, Ptprz1, Grm5, Efna5, Ntrk2, Tenm4, Map6",0.006561645
BC11,BP,GO:1901385,regulation of voltage-gated calcium channel activity,"Pde4b, Cabp1, Cacna2d1",0.006722218
BC11,BP,GO:0043010,camera-type eye development,"Ptprm, Grm6, Six3, Trpm1, Vsx1, Ntrk2, Fat3",0.006722218
BC11,BP,GO:0045445,myoblast differentiation,"Zfhx3, Plcb1, Mkx, Isl1",0.006722218
BC11,BP,GO:0099565,"chemical synaptic transmission, postsynaptic","Reln, Grid2, App, Dgki",0.007478625
BC11,BP,GO:0007616,long-term memory,"Reln, Camk4, Ntrk2",0.007581512
BC11,BP,GO:0001708,cell fate specification,"Myt1l, Isl1, Tenm4, Lhx3",0.007917081
BC11,BP,GO:0021510,spinal cord development,"Reln, Isl1, Lhx3, Dcc",0.008141984
BC11,BP,GO:0050770,regulation of axonogenesis,"Efna5, Sema3d, Ntrk2, Epha7, Map6",0.008222274
BC11,BP,GO:0090288,negative regulation of cellular response to growth factor stimulus,"Sulf1, Cnmd, Vwc2l, Fbn1",0.008252751
BC11,BP,GO:1903305,regulation of regulated secretory pathway,"Grm7, Prkcb, Grin3a, Cadps, Dgki",0.008252751
BC11,BP,GO:0061098,positive regulation of protein tyrosine kinase activity,"Reln, Grm5, App",0.008252751
BC11,BP,GO:0006821,chloride transport,"Grm5, Gabra1, Slc12a5, Gabrb1",0.008518627
BC11,BP,GO:0031644,regulation of nervous system process,"Reln, Cck, Shisa9, App, Tenm4",0.008518627
BC11,BP,GO:0071695,anatomical structure maturation,"Six3, Plcb1, Vsx1, App, Adgrb3, Runx2",0.008518627
BC11,BP,GO:0021520,spinal cord motor neuron cell fate specification,"Isl1, Lhx3",0.008518627
BC11,BP,GO:0099541,trans-synaptic signaling by lipid,"Grm5, Plcb1",0.008518627
BC11,BP,GO:0099542,trans-synaptic signaling by endocannabinoid,"Grm5, Plcb1",0.008518627
BC11,BP,GO:2000171,negative regulation of dendrite development,"Ptprz1, Fat3",0.008518627
BC11,BP,GO:0016525,negative regulation of angiogenesis,"Ptprm, Sulf1, Cnmd, Adgrb3",0.009427679
BC11,BP,GO:0006887,exocytosis,"Unc13c, Grm7, Prkcb, Grin3a, Cadps, Steap2, Dgki",0.009524034
BC11,BP,GO:0021987,cerebral cortex development,"Reln, Plcb1, Ntrk2, Ccdc141",0.009524034
BC11,BP,GO:0099175,regulation of postsynapse organization,"Reln, Grid2, App, Epha7",0.009524034
BC11,BP,GO:2000181,negative regulation of blood vessel morphogenesis,"Ptprm, Sulf1, Cnmd, Adgrb3",0.009670807
BC11,BP,GO:0071420,cellular response to histamine,"Gabra1, Gabrb1",0.009670807
BC11,BP,GO:0099545,trans-synaptic signaling by trans-synaptic complex,"Tenm2, Farp1",0.009670807
BC11,BP,GO:1990504,dense core granule exocytosis,"Unc13c, Cadps",0.009670807
BC11,BP,GO:0045765,regulation of angiogenesis,"Ptprm, Sulf1, Cnmd, Prkcb, Adgrb3, Isl1",0.009670807
BC11,BP,GO:1901343,negative regulation of vasculature development,"Ptprm, Sulf1, Cnmd, Adgrb3",0.009670807
BC11,BP,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,"Grid2, Tenm2, Tenm4",0.009670807
BC11,BP,GO:0048010,vascular endothelial growth factor receptor signaling pathway,"Sulf1, Cnmd, Prkcb",0.009670807
BC11,BP,GO:0098926,postsynaptic signal transduction,"Camk4, Plcb1, Cabp1",0.009670807
BC11,BP,GO:1901342,regulation of vasculature development,"Ptprm, Sulf1, Cnmd, Prkcb, Adgrb3, Isl1",0.010026317
BC11,BP,GO:0030099,myeloid cell differentiation,"Camk4, Plcb1, Rcor1, Inpp4b, Fbn1, App, Stat5b",0.010147992
BC11,BP,GO:1901653,cellular response to peptide,"Grm5, Prkcb, Plcb1, App, Stat5b, Cacna2d1",0.010194514
BC11,BP,GO:0008306,associative learning,"Reln, Cck, Grm7, App",0.010194514
BC11,BP,GO:0099173,postsynapse organization,"Reln, Grid2, Farp1, App, Epha7",0.01025746
BC11,BP,GO:0001654,eye development,"Ptprm, Grm6, Six3, Trpm1, Vsx1, Ntrk2, Fat3",0.010417043
BC11,BP,GO:0048934,peripheral nervous system neuron differentiation,"Ntrk2, Isl1",0.01062403
BC11,BP,GO:0048935,peripheral nervous system neuron development,"Ntrk2, Isl1",0.01062403
BC11,BP,GO:0150063,visual system development,"Ptprm, Grm6, Six3, Trpm1, Vsx1, Ntrk2, Fat3",0.010624781
BC11,BP,GO:0033674,positive regulation of kinase activity,"Reln, Grm5, Magi3, Ntrk2, Fbn1, App, Epha7",0.010839845
BC11,BP,GO:0030111,regulation of Wnt signaling pathway,"Sulf1, Six3, App, Isl1, Nxn, Tle1",0.011224495
BC11,BP,GO:0090596,sensory organ morphogenesis,"Ptprm, Six3, Trpm1, Vsx1, Ntrk2, Fat3",0.011517298
BC11,BP,GO:1901890,positive regulation of cell junction assembly,"Grid2, Efna5, Ntrk2, Adgrb3",0.012289133
BC11,BP,GO:1902476,chloride transmembrane transport,"Gabra1, Slc12a5, Gabrb1",0.012300109
BC11,BP,GO:0009410,response to xenobiotic stimulus,"Ptprm, Guk1, Prkcb, Pde4b, Rora, Slc12a5",0.012428017
BC11,BP,GO:0007528,neuromuscular junction development,"Unc13c, Ntrk2, App",0.012709791
BC11,BP,GO:1900271,regulation of long-term synaptic potentiation,"Reln, Scgn, App",0.012709791
BC11,BP,GO:0035264,multicellular organism growth,"Six3, Slc4a10, App, Stat5b, Slc12a5",0.013132435
BC11,BP,GO:0021517,ventral spinal cord development,"Reln, Isl1, Lhx3",0.013132435
BC11,BP,GO:0007631,feeding behavior,"Cck, Grm7, Ntrk2, App",0.013132435
BC11,BP,GO:0009100,glycoprotein metabolic process,"Sulf1, Chst9, Plcb1, Slc4a10, St6gal2, Spock3",0.013132435
BC11,BP,GO:0097529,myeloid leukocyte migration,"Scg2, Plcb1, Pde4b, App, Stat5b",0.014463645
BC11,BP,GO:0042551,neuron maturation,"Vsx1, App, Adgrb3",0.014476083
BC11,BP,GO:0021859,pyramidal neuron differentiation,"Unc5d, Slc4a10",0.014476083
BC11,BP,GO:0034776,response to histamine,"Gabra1, Gabrb1",0.014476083
BC11,BP,GO:0035235,ionotropic glutamate receptor signaling pathway,"Grin3a, App",0.014476083
BC11,BP,GO:0046548,retinal rod cell development,"Trpm1, Ntrk2",0.014476083
BC11,BP,GO:0060911,cardiac cell fate commitment,"Isl1, Tenm4",0.014476083
BC11,BP,GO:0099550,"trans-synaptic signaling, modulating synaptic transmission","Grm5, Ntrk2",0.014476083
BC11,BP,GO:1901841,regulation of high voltage-gated calcium channel activity,"Pde4b, Cacna2d1",0.014476083
BC11,BP,GO:2000811,negative regulation of anoikis,"Ntrk2, Tle1",0.014476083
BC11,BP,GO:0008277,regulation of G protein-coupled receptor signaling pathway,"Grm5, Plcb1, Pde4b, App",0.015349286
BC11,BP,GO:0045744,negative regulation of G protein-coupled receptor signaling pathway,"Grm5, Pde4b, App",0.016120828
BC11,BP,GO:0070593,dendrite self-avoidance,"Cntn5, Ccdc141",0.016120828
BC11,BP,GO:0099527,postsynapse to nucleus signaling pathway,"Camk4, Cabp1",0.016120828
BC11,BP,GO:0045661,regulation of myoblast differentiation,"Zfhx3, Plcb1, Mkx",0.016601434
BC11,BP,GO:0002573,myeloid leukocyte differentiation,"Camk4, Plcb1, Inpp4b, Fbn1, App",0.016601434
BC11,BP,GO:0016322,neuron remodeling,"App, Adgrb3",0.017812599
BC11,BP,GO:1900452,regulation of long-term synaptic depression,"Grid2, Dgki",0.017812599
BC11,BP,GO:0006874,cellular calcium ion homeostasis,"Ryr3, Prkcb, Scgn, Trpm1, Inpp4b, App, Cacna2d1",0.017852817
BC11,BP,GO:0010469,regulation of signaling receptor activity,"Reln, Dapk1, Shisa9, App",0.018907619
BC11,BP,GO:0018209,peptidyl-serine modification,"Prkcb, Camk4, Spock3, Ntrk2, App, Camkv",0.019049178
BC11,BP,GO:0060134,prepulse inhibition,"Grid2, Grin3a",0.01944503
BC11,BP,GO:0017157,regulation of exocytosis,"Grm7, Prkcb, Grin3a, Cadps, Dgki",0.01944503
BC11,BP,GO:0001819,positive regulation of cytokine production,"Sulf1, Plcb1, Pde4b, Rora, App, Stat5b, Isl1",0.01944503
BC11,BP,GO:0001937,negative regulation of endothelial cell proliferation,"Ptprm, Sulf1, Cnmd",0.01944503
BC11,BP,GO:0015800,acidic amino acid transport,"Cck, Grm7, Ntrk2",0.01944503
BC11,BP,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,"Grm7, Grm6, App",0.020155094
BC11,BP,GO:0015698,inorganic anion transport,"Grm5, Gabra1, Slc12a5, Gabrb1",0.020457399
BC11,BP,GO:0021536,diencephalon development,"Six3, Isl1, Lhx3",0.020644765
BC11,BP,GO:0010001,glial cell differentiation,"Reln, Ptprz1, Ntrk2, App, Tenm4",0.020644765
BC11,BP,GO:1901215,negative regulation of neuron death,"Ptprz1, Grm7, Ntrk2, App, Isl1",0.020644765
BC11,BP,GO:0060221,retinal rod cell differentiation,"Trpm1, Ntrk2",0.020644765
BC11,BP,GO:0021537,telencephalon development,"Reln, Six3, Plcb1, Ntrk2, Ccdc141",0.0211511
BC11,BP,GO:0035637,multicellular organismal signaling,"Grm7, Ntrk2, Isl1, Cacna2d1",0.021792855
BC11,BP,GO:0097107,postsynaptic density assembly,"Reln, Grid2",0.022529575
BC11,BP,GO:0048663,neuron fate commitment,"Myt1l, Isl1, Lhx3",0.023410252
BC11,BP,GO:0006029,proteoglycan metabolic process,"Sulf1, Chst9, Spock3",0.024186503
BC11,BP,GO:0048172,regulation of short-term neuronal synaptic plasticity,"Slc4a10, Shisa9",0.024338235
BC11,BP,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,"Shisa9, App",0.024338235
BC11,BP,GO:0061097,regulation of protein tyrosine kinase activity,"Reln, Grm5, App",0.024547873
BC11,BP,GO:0010977,negative regulation of neuron projection development,"Ptprz1, Sema3d, Fat3, Epha7",0.024547873
BC11,BP,GO:0021543,pallium development,"Reln, Plcb1, Ntrk2, Ccdc141",0.024547873
BC11,BP,GO:0032102,negative regulation of response to external stimulus,"Grid2, Cck, Grin3a, Rora, Sema3d, Isl1",0.025790947
BC11,BP,GO:0048791,calcium ion-regulated exocytosis of neurotransmitter,"Unc13c, Cadps",0.025790947
BC11,BP,GO:2000209,regulation of anoikis,"Ntrk2, Tle1",0.025790947
BC11,BP,GO:2001224,positive regulation of neuron migration,"Reln, Ptprz1",0.025790947
BC11,BP,GO:0001936,regulation of endothelial cell proliferation,"Ptprm, Sulf1, Scg2, Cnmd",0.026149366
BC11,BP,GO:0021511,spinal cord patterning,"Reln, Lhx3",0.027908966
BC11,BP,GO:0048638,regulation of developmental growth,"Efna5, Plcb1, Sema3d, App, Epha7, Stat5b",0.027975649
BC11,BP,GO:0050680,negative regulation of epithelial cell proliferation,"Ptprm, Sulf1, Cnmd, Isl1",0.028672438
BC11,BP,GO:0030509,BMP signaling pathway,"Sulf1, Vwc2l, Fbn1, Runx2",0.029270566
BC11,BP,GO:1901652,response to peptide,"Grm5, Prkcb, Plcb1, App, Stat5b, Cacna2d1",0.029270566
BC11,BP,GO:0010842,retina layer formation,"Ptprm, Fat3",0.029270566
BC11,BP,GO:0040019,positive regulation of embryonic development,"Plcb1, Tenm4",0.029270566
BC11,BP,GO:0048670,regulation of collateral sprouting,"Efna5, Epha7",0.029270566
BC11,BP,GO:0032729,positive regulation of interferon-gamma production,"Pde4b, App, Isl1",0.029270566
BC11,BP,GO:0045165,cell fate commitment,"Myt1l, Isl1, Runx2, Tenm4, Lhx3",0.030563331
BC11,BP,GO:0032535,regulation of cellular component size,"Efna5, Arhgap18, Sema3d, Sptb, Epha7, Slc12a5",0.030563331
BC11,BP,GO:0046530,photoreceptor cell differentiation,"Trpm1, Six3os1, Ntrk2",0.03083944
BC11,BP,GO:0014048,regulation of glutamate secretion,"Cck, Grm7",0.03083944
BC11,BP,GO:0046037,GMP metabolic process,"Guk1, Ampd2",0.03083944
BC11,BP,GO:2000311,regulation of AMPA receptor activity,"Reln, Shisa9",0.03083944
BC11,BP,GO:0045638,negative regulation of myeloid cell differentiation,"Inpp4b, Fbn1, Stat5b",0.031291065
BC11,BP,GO:0030336,negative regulation of cell migration,"Ptprm, Sulf1, Plcb1, Ldlrad4, Limch1",0.031943295
BC11,BP,GO:0001935,endothelial cell proliferation,"Ptprm, Sulf1, Scg2, Cnmd",0.032590513
BC11,BP,GO:0016082,synaptic vesicle priming,"Unc13c, Cadps",0.032590513
BC11,BP,GO:0099010,modification of postsynaptic structure,"Cabp1, Camkv",0.032590513
BC11,BP,GO:1901019,regulation of calcium ion transmembrane transporter activity,"Pde4b, Cabp1, Cacna2d1",0.032618293
BC11,BP,GO:0006835,dicarboxylic acid transport,"Cck, Grm7, Ntrk2",0.033362924
BC11,BP,GO:0045665,negative regulation of neuron differentiation,"Six3, App, Isl1",0.033362924
BC11,BP,GO:0043524,negative regulation of neuron apoptotic process,"Ptprz1, Grm7, Ntrk2, Isl1",0.033523218
BC11,BP,GO:0071772,response to BMP,"Sulf1, Vwc2l, Fbn1, Runx2",0.033523218
BC11,BP,GO:0071773,cellular response to BMP stimulus,"Sulf1, Vwc2l, Fbn1, Runx2",0.033523218
BC11,BP,GO:0098698,postsynaptic specialization assembly,"Reln, Grid2",0.033907967
BC11,BP,GO:2000310,regulation of NMDA receptor activity,"Reln, Dapk1",0.033907967
BC11,BP,GO:0021954,central nervous system neuron development,"Slc4a10, Ntrk2, Dcc",0.035636978
BC11,BP,GO:1904861,excitatory synapse assembly,"Reln, Grid2",0.036094076
